State,Administered,Percentage ,id,Popu,less18per,f18t29per,f30t39per,f40t49per,f50t64per,f65t74per,f75pper,less18,f18t29,f30t39,f40t49,f50t64,f65t74,f75p,less18D1per,f18t29D1per,f30t39D1per,f40t49D1per,f50t64D1per,f65t74D1per,f75pD1per,less18D1,f18t29D1,f30t39D1,f40t49D1,f50t64D1,f65t74D1,f75pD1,less18D2per,f18t29D2per,f30t39D2per,f40t49D2per,f50t64D2per,f65t74D2per,f75pD2per,less18D2,f18t29D2,f30t39D2,f40t49D2,f50t64D2,f65t74D2,f75pD2
Michigan,1718790,17.21051979,26,9986857,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,1014.0861,121657.8348,180089.593,187689.9778,326600.7789,429725.2506,472002.3665,0.76,0.63,0.61,0.62,0.64,0.72,0.67,770.705436,76644.43595,109854.6517,116367.7863,209024.4985,309402.1804,316241.5856,0.24,0.37,0.39,0.38,0.36,0.28,0.33,243.380664,45013.39889,70234.94126,71322.19158,117576.2804,120323.0702,155760.7809
Minnesota,957275,16.97406852,27,5639632,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,564.79225,67756.9708,100300.3654,104533.3773,181899.3365,239334.2056,262880.3201,0.76,0.63,0.61,0.62,0.64,0.72,0.67,429.24211,42686.8916,61183.22292,64810.69392,116415.5754,172320.628,176129.8145,0.24,0.37,0.39,0.38,0.36,0.28,0.33,135.55014,25070.0792,39117.14252,39722.68337,65483.76114,67013.57756,86750.50564
Mississippi,438364,14.72923567,28,2976149,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,258.63476,31027.88305,45930.44778,47868.86673,83296.9844,109598.0776,120380.5266,0.76,0.63,0.61,0.62,0.64,0.72,0.67,196.5624176,19547.56632,28017.57314,29678.69737,53310.07002,78910.61584,80654.95285,0.24,0.37,0.39,0.38,0.36,0.28,0.33,62.0723424,11480.31673,17912.87463,18190.16936,29986.91439,30687.46172,39725.57379
Missouri,915475,14.9162646,29,6137428,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,540.13025,64798.32111,95920.68846,99968.86325,173956.5904,228883.5307,251401.4897,0.76,0.63,0.61,0.62,0.64,0.72,0.67,410.49899,40822.9423,58511.61996,61980.69522,111332.2179,164796.1421,168438.9981,0.24,0.37,0.39,0.38,0.36,0.28,0.33,129.63126,23975.37881,37409.0685,37988.16804,62624.37255,64087.3886,82962.4916
Montana,190070,17.78386157,30,1068778,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,112.1413,13453.36235,19914.957,20755.43498,36116.69258,47520.56876,52195.72478,0.76,0.63,0.61,0.62,0.64,0.72,0.67,85.227388,8475.618278,12148.12377,12868.36969,23114.68325,34214.8095,34971.13561,0.24,0.37,0.39,0.38,0.36,0.28,0.33,26.913912,4977.744068,7766.833229,7887.065292,13002.00933,13305.75925,17224.58918
Nebraska,305057,15.77004438,31,1934408,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,179.98363,21592.26789,31962.94542,33311.88893,57966.27499,76269.17527,83772.6691,0.76,0.63,0.61,0.62,0.64,0.72,0.67,136.7875588,13603.12877,19497.39671,20653.37114,37098.416,54913.80619,56127.6883,0.24,0.37,0.39,0.38,0.36,0.28,0.33,43.1960712,7989.139118,12465.54871,12658.51779,20867.859,21355.36907,27644.9808
Nevada,466981,15.16095289,32,3080156,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,275.51879,33053.42559,48928.85007,50993.81166,88734.72519,116752.7896,128239.1317,0.76,0.63,0.61,0.62,0.64,0.72,0.67,209.3942804,20823.65812,29846.59854,31616.16323,56790.22412,84062.00851,85920.21822,0.24,0.37,0.39,0.38,0.36,0.28,0.33,66.1245096,12229.76747,19082.25153,19377.64843,31944.50107,32690.78109,42318.91345
New Hampshire,226863,16.68464843,33,1359711,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,133.84917,16057.6111,23770.01573,24773.19012,43108.0193,56719.41279,62299.56706,0.76,0.63,0.61,0.62,0.64,0.72,0.67,101.7253692,10116.29499,14499.70959,15359.37787,27589.13235,40837.97721,41740.70993,0.24,0.37,0.39,0.38,0.36,0.28,0.33,32.1238008,5941.316107,9270.306133,9413.812245,15518.88695,15881.43558,20558.85713
New Jersey,1542174,17.36254235,34,8882190,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,909.88266,109156.7613,161584.3052,168403.7049,293040.5864,385568.399,423501.2873,0.76,0.63,0.61,0.62,0.64,0.72,0.67,691.5108216,68768.75963,98566.42618,104410.297,187545.9753,277609.2473,283745.8625,0.24,0.37,0.39,0.38,0.36,0.28,0.33,218.3718384,40388.00169,63017.87903,63993.40785,105494.6111,107959.1517,139755.4248
New Mexico,456034,21.74874537,35,2096829,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,269.06006,32278.58497,47781.85668,49798.4113,86654.5998,114015.8629,125232.9413,0.76,0.63,0.61,0.62,0.64,0.72,0.67,204.4856456,20335.50853,29146.93257,30875.01501,55458.94387,82091.42125,83906.07068,0.24,0.37,0.39,0.38,0.36,0.28,0.33,64.5744144,11943.07644,18634.9241,18923.39629,31195.65593,31924.4416,41326.87064
