State,Administered,Percentage ,id,Popu,Whiteper,Blackper,Hispanicper,Asianper,American Indian_AlaskaNativeper,Native Hawaiian_Pacific Islanderper,Otherper,White,Black,Hispanic,Asian,American Indian_AlaskaNative,Native Hawaiian_Pacific Islander,Other,WhiteD1per,BlackD1per,HispanicD1per,AsianD1per,American Indian_AlaskaNativeD1per,Native Hawaiian_Pacific IslanderD1per,OtherD1per,WhiteD1,BlackD1,HispanicD1,AsianD1,American Indian_AlaskaNativeD1,Native Hawaiian_Pacific IslanderD1,OtherD1,WhiteD2per,BlackD2per,HispanicD2per,AsianD2per,American Indian_AlaskaNativeD2per,Native Hawaiian_Pacific IslanderD2per,OtherD2per,WhiteD2,BlackD2,HispanicD2,AsianD2,American Indian_AlaskaNativeD2,Native Hawaiian_Pacific IslanderD2,OtherD2
Mississippi,438364,14.72923567,28,2976149,0.69,0.25,0.01,0.01,0.01,0.01,0.04,302471.16,109591,4383.64,4383.64,4383.64,4383.64,17534.56,0.69,0.66,0.67,0.68,0.69,0.66,0.67,208705.1004,72330.06,2937.0388,2980.8752,3024.7116,2893.2024,11748.1552,0.31,0.34,0.33,0.32,0.31,0.34,0.33,93766.0596,37260.94,1446.6012,1402.7648,1358.9284,1490.4376,5786.4048
Missouri,915475,14.9162646,29,6137428,0.85,0.06,0.03,0.01,0.01,0.01,0.08,778153.75,54928.5,27464.25,9154.75,9154.75,9154.75,73238,0.69,0.66,0.67,0.68,0.69,0.66,0.67,536926.0875,36252.81,18401.0475,6225.23,6316.7775,6042.135,49069.46,0.31,0.34,0.33,0.32,0.31,0.34,0.33,241227.6625,18675.69,9063.2025,2929.52,2837.9725,3112.615,24168.54
Montana,190070,17.78386157,30,1068778,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,124238.2301,12288.23686,15701.65572,9060.122113,3309.221237,4980.301496,24974.50375,0.69,0.66,0.67,0.68,0.69,0.66,0.67,85724.37877,8110.236328,10520.10933,6160.883037,2283.362654,3286.998987,16732.91751,0.31,0.34,0.33,0.32,0.31,0.34,0.33,38513.85133,4178.000532,5181.546388,2899.239076,1025.858583,1693.302509,8241.586238
Nebraska,305057,15.77004438,31,1934408,0.9,0.03,0.03,0.01,0.01,0.01,0.05,274551.3,9151.71,9151.71,3050.57,3050.57,3050.57,15252.85,0.69,0.66,0.67,0.68,0.69,0.66,0.67,189440.397,6040.1286,6131.6457,2074.3876,2104.8933,2013.3762,10219.4095,0.31,0.34,0.33,0.32,0.31,0.34,0.33,85110.903,3111.5814,3020.0643,976.1824,945.6767,1037.1938,5033.4405
Nevada,466981,15.16095289,32,3080156,0.63,0.05,0.13,0.13,0.01,0.02620246,0.05,294198.03,23349.05,60707.53,60707.53,4669.81,12236.05079,23349.05,0.69,0.66,0.67,0.68,0.69,0.66,0.67,202996.6407,15410.373,40674.0451,41281.1204,3222.1689,8075.793521,15643.8635,0.31,0.34,0.33,0.32,0.31,0.34,0.33,91201.3893,7938.677,20033.4849,19426.4096,1447.6411,4160.257269,7705.1865
New Hampshire,226863,16.68464843,33,1359711,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,148287.776,14666.94522,18741.12023,10813.94477,3949.807216,5944.368592,29808.96956,0.69,0.66,0.67,0.68,0.69,0.66,0.67,102318.5654,9680.183845,12556.55055,7353.482444,2725.366979,3923.283271,19972.00961,0.31,0.34,0.33,0.32,0.31,0.34,0.33,45969.21056,4986.761375,6184.569676,3460.462326,1224.440237,2021.085321,9836.959955
New Jersey,1542174,17.36254235,34,8882190,0.66,0.05,0.06,0.07,0.017410539,0.02620246,0.16,1017834.84,77108.7,92530.44,107952.18,26850.0813,40408.75193,246747.84,0.69,0.66,0.67,0.68,0.69,0.66,0.67,702306.0396,50891.742,61995.3948,73407.4824,18526.5561,26669.77627,165321.0528,0.31,0.34,0.33,0.32,0.31,0.34,0.33,315528.8004,26216.958,30535.0452,34544.6976,8323.525203,13738.97566,81426.7872
New Mexico,456034,21.74874537,35,2096829,0.45,0.01,0.36,0.02,0.12,0.02620246,0.03,205215.3,4560.34,164172.24,9120.68,54724.08,11949.21246,13681.02,0.69,0.66,0.67,0.68,0.69,0.66,0.67,141598.557,3009.8244,109995.4008,6202.0624,37759.6152,7886.480224,9166.2834,0.31,0.34,0.33,0.32,0.31,0.34,0.33,63616.743,1550.5156,54176.8392,2918.6176,16964.4648,4062.732236,4514.7366
New York,3253874,16.82738,36,"1,93,36,776",0.81,0.08,0.09,0.1,0.017410539,0.02620246,0.01,2635637.94,260309.92,292848.66,325387.4,56651.70171,85259.50203,32538.74,0.69,0.66,0.67,0.68,0.69,0.66,0.67,1818590.179,171804.5472,196208.6022,221263.432,39089.67418,56271.27134,21800.9558,0.31,0.34,0.33,0.32,0.31,0.34,0.33,817047.7614,88505.3728,96640.0578,104123.968,17562.02753,28988.23069,10737.7842
North Carolina,1782267,16.99325635,37,10488084,0.77,0.16,0.03,0.02,0.01,0.02620246,0.04,1372345.59,285162.72,53468.01,35645.34,17822.67,46699.77906,71290.68,0.69,0.66,0.67,0.68,0.69,0.66,0.67,946918.4571,188207.3952,35823.5667,24238.8312,12297.6423,30821.85418,47764.7556,0.31,0.34,0.33,0.32,0.31,0.34,0.33,425427.1329,96955.3248,17644.4433,11406.5088,5525.0277,15877.92488,23525.9244
